name,brand,price,color,description,numberOfPurchases,category,type,imgUrl
Женские ортопедические кроссовки BERKEMANN Alba,BERKEMANN,17352,оранжевый,"<p>
	 Женские ортопедические кроссовки Berkemann Alba – комфортная модель легких кроссовок из особого плетеного текстиля Х-Pro-Maxim 3D AIRKNIT®, подходящая для повседневного ношения и долгих прогулок на природе и в городе. Впечатляющий 3D-эффект верха создается за счет термопластичного формования.
</p><p>
	 Фиксация по полноте и подъему осуществляется с помощью шнуровки. Съемные ортопедические пятифазные стельки с поддержкой сводов с покрытием из экокожи обеспечивают максимальное удобство при длительном нахождении на ногах. Модель оснащена широкой подошвой Valencia из облегченного полиуретана с рифлением.
</p>",0,Ортопедическая обувь,кроссовки,https://cdn.orteka.ru//upload/resize_cache/iblock/f21/1200_1200_1d8f616e6dafd84ca6b85089cc850afe3/9lb0ap7hnxpn6yn9vzx94rbhentwy69t.jpg
Женские ортопедические кроссовки BERKEMANN Niki,BERKEMANN,16472,серый,"<p>
	 Женские ортопедические кроссовки Berkemann Niki – комфортная модель легких «дышащих» кроссовок из особого плетеного текстиля Х-Pro-Maxim 3D AIRKNIT®, подходящая для повседневного ношения и долгих прогулок на природе и в городе.
</p><p>
	 Фиксация по полноте и подъему осуществляется с помощью шнуровки. Съемные ортопедические пятифазные стельки с поддержкой сводов с покрытием из экокожи обеспечивает максимальное удобство при длительном нахождении на ногах. Модель оснащена широкой подошвой Marbella из облегченного полиуретана с рифлением.
</p>",0,Ортопедическая обувь,кроссовки,https://cdn.orteka.ru//upload/resize_cache/iblock/595/1200_1200_1d8f616e6dafd84ca6b85089cc850afe3/2cpqqxu59u34cnu2shze5q41mdquyy48.JPG
Женские ортопедические кроссовки BERKEMANN Pinar,BERKEMANN,16312,серый,"<p>
	 Женские ортопедические кроссовки Berkemann Pinar – стильная и комфортная модель кроссовок с текстурным узором из особого плетеного текстиля Х-Pro-Maxim 3D AIRKNIT®, подходящая для повседневного ношения и долгих прогулок на природе и в городе.
</p><p>
	 Фиксация по полноте и подъему осуществляется с помощью шнуровки. Съемные ортопедические пятифазные стельки с поддержкой сводов с покрытием из экокожи обеспечивают максимальное удобство при длительном нахождении на ногах. Модель оснащена широкой подошвой Marbella из облегченного полиуретана с рифлением.
</p>",0,Ортопедическая обувь,кроссовки,https://cdn.orteka.ru//upload/resize_cache/iblock/dd0/1200_1200_1d8f616e6dafd84ca6b85089cc850afe3/7z6sgdevdmzhejda569e1muzp1b3cx63.JPG
Женские ортопедические кроссовки BERKEMANN Niki,BERKEMANN,20590,голубой,"<p>
	 Женские ортопедические кроссовки Berkemann Niki – комфортная модель легких «дышащих» кроссовок из особого плетеного текстиля Х-Pro-Maxim 3D AIRKNIT®, подходящая для повседневного ношения и долгих прогулок на природе и в городе.
</p><p>
	 Фиксация по полноте и подъему осуществляется с помощью шнуровки. Съемные ортопедические пятифазные стельки с поддержкой сводов с покрытием из экокожи обеспечивает максимальное удобство при длительном нахождении на ногах. Модель оснащена широкой подошвой Marbella из облегченного полиуретана с рифлением.
</p>",0,Ортопедическая обувь,кроссовки,https://cdn.orteka.ru//upload/resize_cache/iblock/0df/1200_1200_1d8f616e6dafd84ca6b85089cc850afe3/lot56z2ynbgh96wi3iq9jdpicbb4torm.JPG
Женские ортопедические кроссовки BERKEMANN Kenza,BERKEMANN,21490,бежевый,"<p>
	 Женские ортопедические кроссовки Berkemann Kenza из линейки Stretch – стильная и комфортная модель из натуральной кожи со вставкой из эластичного материала в верхней части, подходящая для повседневного ношения и долгих прогулок на природе и в городе; они будут прекрасно сочетаться с любым гардеробом. Модель подойдет людям с проблемными ногами (начальная стадия Hallux Valgus, широкая стопа, деформированные пальцы и т.п.).
</p><p>
	 Фиксация и регулировка по полноте осуществляется за счет шнуровки и боковой молнии, которые обеспечивают широкое раскрытие и легкость надевания и снятия. Внутренняя часть обуви покрыта натуральной кожей, в области «косточки» - мягким, высокоэластичным материалом, который повторяет форму стопы, снижает напряжение и устраняет чувство дискомфорта, связанное с давлением и натиранием. Съемные ортопедические пятифазные стельки с поддержкой сводов с покрытием из натуральной замши обеспечивают максимальное удобство при длительном нахождении на ногах. Модель оснащена широкой подошвой из облегченного полиуретана.
</p>",0,Ортопедическая обувь,кроссовки,https://cdn.orteka.ru//upload/resize_cache/iblock/496/1200_1200_1d8f616e6dafd84ca6b85089cc850afe3/1zvma76q907n5qhwgf2e4dus6h13k658.JPG
Женские ортопедические кроссовки BERKEMANN Edina,BERKEMANN,19990,розовый,"<p>
	 Женские ортопедические кроссовки Berkemann Edina из линейки Stretch – яркая и комфортная модель в спортивном стиле из натуральной кожи со вставкой из эластичного материала в верхней части, подходящая для повседневного ношения и долгих прогулок на природе и в городе. Модель подойдет людям с проблемными ногами (начальная стадия Hallux Valgus, широкая стопа, деформированные пальцы и т.п.).
</p><p>
	 Фиксация и регулировка по полноте осуществляется за счет шнуровки. Внутренняя часть обуви покрыта натуральной кожей, в области мыса - мягким, высокоэластичным материалом, который повторяет форму стопы, снижает напряжение и устраняет чувство дискомфорта, связанное с давлением и натиранием. Съемные ортопедические пятифазные стельки с поддержкой сводов с покрытием из натуральной замши обеспечивают максимальное удобство при длительном нахождении на ногах. Модель оснащена широкой подошвой Valencia из облегченного полиуретана.
</p>",0,Ортопедическая обувь,кроссовки,https://cdn.orteka.ru//upload/resize_cache/iblock/d34/1200_1200_1d8f616e6dafd84ca6b85089cc850afe3/dm145xip8e6wqdbgtze7gzj355sg6pjf.JPG
Женские ортопедические кроссовки BERKEMANN Edina,BERKEMANN,19990,белый,"<p>
	 Женские ортопедические кроссовки Berkemann Edina из линейки Stretch – яркая и комфортная модель в спортивном стиле из натуральной кожи со вставкой из эластичного материала в верхней части, подходящая для повседневного ношения и долгих прогулок на природе и в городе. Модель подойдет людям с проблемными ногами (начальная стадия Hallux Valgus, широкая стопа, деформированные пальцы и т.п.).
</p><p>
	 Фиксация и регулировка по полноте осуществляется за счет шнуровки. Внутренняя часть обуви покрыта натуральной кожей, в области мыса - мягким, высокоэластичным материалом, который повторяет форму стопы, снижает напряжение и устраняет чувство дискомфорта, связанное с давлением и натиранием. Съемные ортопедические пятифазные стельки с поддержкой сводов с покрытием из натуральной замши обеспечивают максимальное удобство при длительном нахождении на ногах. Модель оснащена широкой подошвой Valencia из облегченного полиуретана.
</p>",0,Ортопедическая обувь,кроссовки,https://cdn.orteka.ru//upload/resize_cache/iblock/a58/1200_1200_1d8f616e6dafd84ca6b85089cc850afe3/7y8gw6kqg8jxa8nisx2300vut1ywgbg4.JPG
Женские ортопедические кроссовки BERKEMANN Benita,BERKEMANN,17032,серый,"<p>
	 Женские ортопедические кроссовки Berkemann Benita – комфортная модель легких кроссовок с поддерживающими боковыми вставками, выполненная из особого плетеного текстиля Х-Pro-Maxim 3D AIRKNIT®, подходящая для повседневного ношения и долгих прогулок на природе и в городе.
</p><p>
	 Фиксация по полноте и подъему осуществляется с помощью шнуровки. Съемные ортопедические пятифазные стельки с поддержкой сводов с покрытием из экокожи обеспечивают максимальное удобство при длительном нахождении на ногах. Модель оснащена широкой подошвой Marbella из облегченного полиуретана с рифлением.
</p>",0,Ортопедическая обувь,кроссовки,https://cdn.orteka.ru//upload/resize_cache/iblock/7a9/1200_1200_1d8f616e6dafd84ca6b85089cc850afe3/v72qwk63gysakm9p7p3zn52shl3j5055.JPG
Женские ортопедические кроссовки BERKEMANN Kenza,BERKEMANN,20990,голубой,"<p>
	 Женские ортопедические кроссовки Berkemann Kenza из линейки Stretch – стильная и комфортная модель из натуральной кожи со вставкой из эластичного материала в верхней части, подходящая для повседневного ношения и долгих прогулок на природе и в городе; они будут прекрасно сочетаться с любым гардеробом. Модель подойдет людям с проблемными ногами (начальная стадия Hallux Valgus, широкая стопа, деформированные пальцы и т.п.).
</p><p>
	 Фиксация и регулировка по полноте осуществляется за счет шнуровки и боковой молнии, которые обеспечивают широкое раскрытие и легкость надевания и снятия. Внутренняя часть обуви покрыта натуральной кожей, в области «косточки» - мягким, высокоэластичным материалом, который повторяет форму стопы, снижает напряжение и устраняет чувство дискомфорта, связанное с давлением и натиранием. Съемные ортопедические пятифазные стельки с поддержкой сводов с покрытием из натуральной замши обеспечивают максимальное удобство при длительном нахождении на ногах. Модель оснащена широкой подошвой из облегченного полиуретана.
</p>",0,Ортопедическая обувь,кроссовки,https://cdn.orteka.ru//upload/resize_cache/iblock/bd2/1200_1200_1d8f616e6dafd84ca6b85089cc850afe3/og9y1crue9m098yltsgif09dwgz53fnu.JPG
Женские ортопедические кроссовки BERKEMANN Alba,BERKEMANN,17352,розовый,"<p>
	 Женские ортопедические кроссовки Berkemann Alba – комфортная модель легких кроссовок из особого плетеного текстиля Х-Pro-Maxim 3D AIRKNIT®, подходящая для повседневного ношения и долгих прогулок на природе и в городе. Впечатляющий 3D-эффект верха создается за счет термопластичного формования.
</p><p>
	 Фиксация по полноте и подъему осуществляется с помощью шнуровки. Съемные ортопедические пятифазные стельки с поддержкой сводов с покрытием из экокожи обеспечивают максимальное удобство при длительном нахождении на ногах. Модель оснащена широкой подошвой Valencia из облегченного полиуретана с рифлением.
</p>",0,Ортопедическая обувь,кроссовки,https://cdn.orteka.ru//upload/resize_cache/iblock/7af/1200_1200_1d8f616e6dafd84ca6b85089cc850afe3/hyt11jx0kra1ek9pwaojm5q7qarj5aw2.JPG
Женские ортопедические кроссовки BERKEMANN Alba,BERKEMANN,17352,серый,"<p>
	 Женские ортопедические кроссовки Berkemann Alba – комфортная модель легких кроссовок из особого плетеного текстиля Х-Pro-Maxim 3D AIRKNIT®, подходящая для повседневного ношения и долгих прогулок на природе и в городе. Впечатляющий 3D-эффект верха создается за счет термопластичного формования.
</p><p>
	 Фиксация по полноте и подъему осуществляется с помощью шнуровки. Съемные ортопедические пятифазные стельки с поддержкой сводов с покрытием из экокожи обеспечивают максимальное удобство при длительном нахождении на ногах. Модель оснащена широкой подошвой Valencia из облегченного полиуретана с рифлением.
</p>",0,Ортопедическая обувь,кроссовки,https://cdn.orteka.ru//upload/resize_cache/iblock/226/1200_1200_1d8f616e6dafd84ca6b85089cc850afe3/8jgmts5pxkpkincc70wuriimmxv6a1ri.JPG
Женские ортопедические кроссовки GÖEKKEN Etta,GÖEKKEN,16392,синий,"<p>
	 Женские ортопедические кроссовки из текстиля со вставками из натуральной замши Etta от немецкого бренда Göekken – стильная модель сникеров с увеличенной полнотой, сочетающая в себе комфорт, стиль и практичность. Мягкая микрофибра подкладки делает кроссовки подходящими не только для обычных, но и для чувствительных стоп. Благодаря дизайну без язычка и крою кроссовки можно использовать в случае высокого подъема, а ремешок на липучке легко отрегулирует их по полноте.
</p><p>
	 Съемная ортопедическая стелька с поддержкой продольного свода и покрытием из микрофибры заботится о комфорте ног на протяжении всего дня. Облегченная подошва выполнена из ЭВА.
</p>",0,Ортопедическая обувь,кроссовки,https://cdn.orteka.ru//upload/resize_cache/iblock/bae/1200_1200_1d8f616e6dafd84ca6b85089cc850afe3/jxrgsks4lz4vye25i94hbkyzhu2ah3db.JPG
Женские ортопедические кроссовки GÖEKKEN Etta,GÖEKKEN,16712,бежевый,"<p>
	 Женские ортопедические кроссовки из текстиля со вставками из натуральной замши Etta от немецкого бренда Göekken – стильная модель сникеров с увеличенной полнотой, сочетающая в себе комфорт, стиль и практичность. Мягкая микрофибра подкладки делает кроссовки подходящими не только для обычных, но и для чувствительных стоп. Благодаря дизайну без язычка и крою кроссовки можно использовать в случае высокого подъема, а ремешок на липучке легко отрегулирует их по полноте.
</p><p>
	 Съемная ортопедическая стелька с поддержкой продольного свода и покрытием из микрофибры заботится о комфорте ног на протяжении всего дня. Облегченная подошва выполнена из ЭВА.
</p>",0,Ортопедическая обувь,кроссовки,https://cdn.orteka.ru//upload/resize_cache/iblock/35a/1200_1200_1d8f616e6dafd84ca6b85089cc850afe3/3ygr0hidf9iqgq687gf3xihpnidk1ziv.JPG
Женские ортопедические кроссовки GÖEKKEN Peony,GÖEKKEN,17752,зеленый,"<p>
	 Женские ортопедические кроссовки из натуральной замши со вставками из натуральной кожи Peony от немецкого бренда Göekken – классическая стильная модель, сочетающая в себе комфорт, стиль и практичность. Мягкая микрофибра подкладки делает кроссовки подходящими не только для обычных, но и для чувствительных стоп.
</p><p>
	 Съемная ортопедическая стелька с поддержкой продольного свода и покрытием из микрофибры заботится о комфорте ног на протяжении всего дня. Облегченная подошва из ЭВА обеспечивает отличную амортизацию и дополнена протектором для уверенного движения на любых поверхностях.
</p>",0,Ортопедическая обувь,кроссовки,https://cdn.orteka.ru//upload/resize_cache/iblock/b47/1200_1200_1d8f616e6dafd84ca6b85089cc850afe3/we0wo012z312uhdupmwlaox77atuieru.JPG
Женские ортопедические кроссовки GÖEKKEN Peony,GÖEKKEN,17752,розовый,"<p>
	 Женские ортопедические кроссовки из натуральной замши со вставками из натуральной кожи Peony от немецкого бренда Göekken – классическая стильная модель, сочетающая в себе комфорт, стиль и практичность. Мягкая микрофибра подкладки делает кроссовки подходящими не только для обычных, но и для чувствительных стоп.
</p><p>
	 Съемная ортопедическая стелька с поддержкой продольного свода и покрытием из микрофибры заботится о комфорте ног на протяжении всего дня. Облегченная подошва из ЭВА обеспечивает отличную амортизацию и дополнена протектором для уверенного движения на любых поверхностях.
</p>",0,Ортопедическая обувь,кроссовки,https://cdn.orteka.ru//upload/resize_cache/iblock/644/1200_1200_1d8f616e6dafd84ca6b85089cc850afe3/zl2lz5kjwmzj40flhnodupogj6fwv40u.JPG
Женские ортопедические кроссовки ORTMANN Glory,ORTMANN,13490,бежевый,"<p>
	 Женские ортопедические кроссовки Ortmann Glory из натуральной кожи – модель демисезонных сникеров, подходящая для повседневного ношения и долгих прогулок на природе и в городе. Увеличенная внутриобувная конструкция мыса со вставкой из эластичного текстиля на подкладке облегчает симптомы дискомфорта при таких патологиях стоп, как широкая стопа, начальная стадия молоткообразных пальцев.
</p><p>
	 Съемные ортопедические стельки с выкладкой сводов и метатарзальным пелотом выполнены из мягкого пористого материала с покрытием из микрофибры. Рельефная подошва из полиуретана имеет физиологический перекат для удобства при ходьбе.
</p>",0,Ортопедическая обувь,кроссовки,https://cdn.orteka.ru//upload/resize_cache/iblock/22a/1200_1200_1d8f616e6dafd84ca6b85089cc850afe3/jx91mrtzpfx8k1wmqanxus2unszaebq1.JPG
Женские ортопедические кроссовки ORTMANN Celyn,ORTMANN,10392,белый,"<p>
	 Женские ортопедические кроссовки Ortmann Celyn из натуральной кожи со вставками натуральной замши – стильная модель классических демисезонных кроссовок, подходящая для повседневного ношения и долгих прогулок на природе и в городе. Увеличенная внутриобувная конструкция мыса со вставками из текстиля облегчает симптомы дискомфорта при таких патологиях стоп, как широкая стопа.
</p><p>
	 Съемные ортопедические стельки с выкладкой сводов и метатарзальным пелотом выполнены из мягкого пористого материала с покрытием из натуральной кожи. Мягкий кант на лодыжке позволяет уменьшить натирание при долгом ношении. Наличие петли Bootstrap на заднике облегчает надевание и снятие обуви. Рельефная подошва выполнена из резины и филона.
</p>",0,Ортопедическая обувь,кроссовки,https://cdn.orteka.ru//upload/resize_cache/iblock/9de/1200_1200_1d8f616e6dafd84ca6b85089cc850afe3/pef2fvkwp0qhbe0l06be97o7j5kfff16.JPG
Женские ортопедические кроссовки ORTMANN Celyn,ORTMANN,10392,синий,"<p>
	 Женские ортопедические кроссовки Ortmann Celyn из натуральной кожи со вставками натуральной замши – стильная модель классических демисезонных кроссовок, подходящая для повседневного ношения и долгих прогулок на природе и в городе. Увеличенная внутриобувная конструкция мыса со вставками из текстиля облегчает симптомы дискомфорта при таких патологиях стоп, как широкая стопа.
</p><p>
	 Съемные ортопедические стельки с выкладкой сводов и метатарзальным пелотом выполнены из мягкого пористого материала с покрытием из натуральной кожи. Мягкий кант на лодыжке позволяет уменьшить натирание при долгом ношении. Наличие петли Bootstrap на заднике облегчает надевание и снятие обуви. Рельефная подошва выполнена из резины и филона.
</p>",0,Ортопедическая обувь,кроссовки,https://cdn.orteka.ru//upload/resize_cache/iblock/8f6/1200_1200_1d8f616e6dafd84ca6b85089cc850afe3/g3ywhyqidoqj4vjqqlgxg57xl5krpgy0.JPG
Женские ортопедические кроссовки ORTMANN Arella,ORTMANN,11192,белый,"<p>
	 Женские ортопедические кроссовки Ortmann Arella из натуральной кожи со вставками натуральной замши – стильная модель классических демисезонных кроссовок, идеально подходящая для повседневного ношения и долгих прогулок на природе и в городе. Увеличенная внутриобувная конструкция мыса со вставками из текстиля облегчает симптомы дискомфорта при таких патологиях стоп, как широкая стопа.
</p><p>
	 Съемные ортопедические стельки с выкладкой сводов и метатарзальным пелотом выполнены из мягкого пористого материала с покрытием из микрофибры. Мягкий кант на лодыжке позволяет уменьшить натирание при долгом ношении. Рельефная подошва выполнена из резины и филона.
</p>",0,Ортопедическая обувь,кроссовки,https://cdn.orteka.ru//upload/resize_cache/iblock/4a5/1200_1200_1d8f616e6dafd84ca6b85089cc850afe3/84nyx6qtoauyvncdlg1vlcuwth7kfzn6.JPG
Женские ортопедические кроссовки ORTMANN Vivian,ORTMANN,10392,коричневый,"<p>
	 Женские ортопедические кроссовки Ortmann Vivian из натуральной кожи со вставкой из натуральной замши – стильная модель демисезонных кроссовок на липучках, идеально подходящая для повседневного ношения и долгих прогулок на природе и в городе. Увеличенная внутриобувная конструкция мыса со вставками из текстиля облегчает симптомы дискомфорта при таких патологиях стоп, как широкая стопа.
</p><p>
	 Съемные ортопедические стельки с выкладкой сводов и метатарзальным пелотом выполнены из мягкого пористого материала с покрытием из натуральной кожи. Мягкий кант на лодыжке позволяет уменьшить натирание при долгом ношении. Расширенная рельефная подошва выполнена из резины и филона.
</p>",0,Ортопедическая обувь,кроссовки,https://cdn.orteka.ru//upload/resize_cache/iblock/90f/1200_1200_1d8f616e6dafd84ca6b85089cc850afe3/o49f0izmfc23r6rovil407othyfasgco.JPG
Женские ортопедические кроссовки ORTMANN Arella,ORTMANN,11192,бежевый,"<p>
	 Женские ортопедические кроссовки Ortmann Arella из натуральной кожи со вставками натуральной замши – стильная модель классических демисезонных кроссовок, идеально подходящая для повседневного ношения и долгих прогулок на природе и в городе. Увеличенная внутриобувная конструкция мыса со вставками из текстиля облегчает симптомы дискомфорта при таких патологиях стоп, как широкая стопа.
</p><p>
	 Съемные ортопедические стельки с выкладкой сводов и метатарзальным пелотом выполнены из мягкого пористого материала с покрытием из микрофибры. Мягкий кант на лодыжке позволяет уменьшить натирание при долгом ношении. Рельефная подошва выполнена из резины и филона.
</p>",0,Ортопедическая обувь,кроссовки,https://cdn.orteka.ru//upload/resize_cache/iblock/806/1200_1200_1d8f616e6dafd84ca6b85089cc850afe3/zuuuxl7iwscqmgpcu8k9t3fl09u6duyy.JPG
Женские ортопедические кроссовки ORTMANN Vivian,ORTMANN,10392,белый,"<p>
	 Женские ортопедические кроссовки Ortmann Vivian из натуральной кожи со вставкой из натуральной замши – стильная модель демисезонных кроссовок на липучках, идеально подходящая для повседневного ношения и долгих прогулок на природе и в городе. Увеличенная внутриобувная конструкция мыса со вставками из текстиля облегчает симптомы дискомфорта при таких патологиях стоп, как широкая стопа.
</p><p>
	 Съемные ортопедические стельки с выкладкой сводов и метатарзальным пелотом выполнены из мягкого пористого материала с покрытием из натуральной кожи. Мягкий кант на лодыжке позволяет уменьшить натирание при долгом ношении. Расширенная рельефная подошва выполнена из резины и филона.
</p>",0,Ортопедическая обувь,кроссовки,https://cdn.orteka.ru//upload/resize_cache/iblock/538/1200_1200_1d8f616e6dafd84ca6b85089cc850afe3/lkb7tntuho059ue6s8vena034lwnqm74.JPG
Мужские ортопедические кроссовки BERKEMANN Allegro-extra,BERKEMANN,16472,черный,"<p>
	 Мужские ортопедические кроссовки Berkemann Allegro-extra – стильная и комфортная модель легких спортивных кроссовок выполнена из особого плетеного текстиля Х-Pro-Maxim 3D AIRKNIT® и подходит для повседневного ношения и долгих прогулок на природе и в городе.
</p><p>
	 Фиксация по полноте и подъему осуществляется с помощью шнуровки. Съемные ортопедические пятифазные стельки с поддержкой сводов с покрытием из экокожи обеспечивают максимальное удобство при длительном нахождении на ногах. Модель оснащена широкой подошвой из облегченного полиуретана с рифлением.
</p>",0,Ортопедическая обувь,кроссовки,https://cdn.orteka.ru//upload/resize_cache/iblock/35e/1200_1200_1d8f616e6dafd84ca6b85089cc850afe3/w9cprlvx7df8g8aufk4al8a5fjkvn934.JPG
Мужские ортопедические кроссовки BERKEMANN Eduard,BERKEMANN,18872,черный,"<p>
	 Мужские ортопедические кроссовки Berkemann Eduard - комфортная модель демисезонных кроссовок, подходящая для повседневного ношения и долгих прогулок на природе и в городе. Внутренняя часть обуви покрыта микрофиброй - мягким, высокоэластичным материалом, который повторяет форму стопы, снижает напряжение и устраняет чувство дискомфорта, связанное с давлением и натиранием.
</p><p>
	 Фиксация по полноте и подъему осуществляется с помощью шнуровки. Съемные ортопедические пятифазные стельки с поддержкой сводов с покрытием из натуральной замши обеспечивают максимальное удобство при длительном нахождении на ногах. Модель оснащена широкой подошвой Thun из облегченного полиуретана с рифлением.
</p>",0,Ортопедическая обувь,кроссовки,https://cdn.orteka.ru//upload/resize_cache/iblock/a12/1200_1200_1d8f616e6dafd84ca6b85089cc850afe3/e2ch8fotr7shkqs92o6190dwb72wbqpz.JPG
Мужские ортопедические кроссовки BERKEMANN Urs,BERKEMANN,16792,серый,"<p>
	 Мужские ортопедические кроссовки Berkemann Urs – комфортная модель легких спортивных кроссовок, выполненная из особого плетеного текстиля Х-Pro-Maxim 3D AIRKNIT®, подходящая для повседневного ношения и долгих прогулок на природе и в городе.
</p><p>
	 Фиксация по полноте и подъему осуществляется с помощью шнуровки. Съемные ортопедические пятифазные стельки с поддержкой сводов с покрытием из экокожи обеспечивают максимальное удобство при длительном нахождении на ногах; их можно стирать в стиральной машине при температуре не выше 30°С. Модель оснащена широкой подошвой Thun из облегченного полиуретана.
</p>",0,Ортопедическая обувь,кроссовки,https://cdn.orteka.ru//upload/resize_cache/iblock/66c/1200_1200_1d8f616e6dafd84ca6b85089cc850afe3/g0m2htxeus3g9r0j7nneak8kjt6ymrnk.JPG
Мужские ортопедические кроссовки BERKEMANN Urs,BERKEMANN,16792,серый,"<p>
	 Мужские ортопедические кроссовки Berkemann Urs – комфортная модель легких спортивных кроссовок, выполненная из особого плетеного текстиля Х-Pro-Maxim 3D AIRKNIT®, подходящая для повседневного ношения и долгих прогулок на природе и в городе.
</p><p>
	 Фиксация по полноте и подъему осуществляется с помощью шнуровки. Съемные ортопедические пятифазные стельки с поддержкой сводов с покрытием из экокожи обеспечивают максимальное удобство при длительном нахождении на ногах; их можно стирать в стиральной машине при температуре не выше 30°С. Модель оснащена широкой подошвой Thun из облегченного полиуретана.
</p>",0,Ортопедическая обувь,кроссовки,https://cdn.orteka.ru//upload/resize_cache/iblock/f7d/1200_1200_1d8f616e6dafd84ca6b85089cc850afe3/kc1zneeudwnxp5ll83vredcj4y4tp3y1.JPG
Мужские ортопедические кроссовки BERKEMANN Nick,BERKEMANN,18872,черный,"<p>
	 Мужские ортопедические кроссовки Berkemann Nick – комфортная модель из натуральной кожи, подходящая для повседневного ношения и долгих прогулок на природе и в городе. Закругленный мыс обеспечивает удобство для пальцев ног и уменьшит натирание.
</p><p>
	 Фиксация по полноте и подъему осуществляется с помощью шнуровки и боковой молнии, обеспечивая широкое раскрытие, плотную посадку и легкость надевания и снятия. Съемные ортопедические пятифазные стельки с поддержкой сводов с покрытием из натуральной замши обеспечивают максимальное удобство при длительном нахождении на ногах. Модель оснащена широкой подошвой Thun из облегченного полиуретана с рифлением.
</p>",0,Ортопедическая обувь,кроссовки,https://cdn.orteka.ru//upload/resize_cache/iblock/8eb/1200_1200_1d8f616e6dafd84ca6b85089cc850afe3/x41b54x0oh1jb99lqljfl1mcqjuve1xb.JPG
Мужские ортопедические кроссовки ORTMANN James,ORTMANN,11192,синий,"<p>
	 Мужские ортопедические кроссовки Ortmann James из натурального нубука и замши – модель классических демисезонных кроссовок, подходящая для повседневного ношения и долгих прогулок на природе и в городе. Увеличенная внутриобувная конструкция мыса со вставками из текстиля облегчает симптомы дискомфорта при таких патологиях стоп, как широкая стопа.
</p><p>
	 Съемные ортопедические стельки с выкладкой сводов и метатарзальным пелотом выполнены из мягкого пористого материала с покрытием из натуральной кожи. Мягкий кант на лодыжке позволяет уменьшить натирание при долгом ношении. Утолщенная подошва выполнена из ЭВА и термопластичной резины.
</p>",0,Ортопедическая обувь,кроссовки,https://cdn.orteka.ru//upload/resize_cache/iblock/df3/1200_1200_1d8f616e6dafd84ca6b85089cc850afe3/22d77cuhd6e36onyrrbt3dunw5sfjobn.JPG
Мужские ортопедические кроссовки ORTMANN Arman,ORTMANN,10392,коричневый,"<p>
	 Мужские ортопедические кроссовки Ortmann Arman из натуральной кожи – модель классических демисезонных кроссовок премиального качества, подходящая для повседневного ношения и долгих прогулок в городе. Увеличенная внутриобувная конструкция мыса со вставками из текстиля облегчает симптомы дискомфорта при таких патологиях стоп, как широкая стопа.
</p><p>
	 Съемные ортопедические стельки с выкладкой сводов и метатарзальным пелотом выполнены из мягкого пористого материала с покрытием из натуральной кожи. Мягкий кант на лодыжке позволяет уменьшить натирание при долгом ношении. Подошва выполнена из полиуретана.
</p>",0,Ортопедическая обувь,кроссовки,https://cdn.orteka.ru//upload/resize_cache/iblock/5fb/1200_1200_1d8f616e6dafd84ca6b85089cc850afe3/yy0x4406zzqrq6hqrc88p2zeyo2ebfjh.JPG
Мужские ортопедические кроссовки ORTMANN Arman,ORTMANN,12990,черный,"<p>
	 Мужские ортопедические кроссовки Ortmann Arman из натуральной кожи – модель классических демисезонных кроссовок премиального качества, подходящая для повседневного ношения и долгих прогулок в городе. Увеличенная внутриобувная конструкция мыса со вставками из текстиля облегчает симптомы дискомфорта при таких патологиях стоп, как широкая стопа.
</p><p>
	 Съемные ортопедические стельки с выкладкой сводов и метатарзальным пелотом выполнены из мягкого пористого материала с покрытием из натуральной кожи. Мягкий кант на лодыжке позволяет уменьшить натирание при долгом ношении. Подошва выполнена из полиуретана.
</p>",0,Ортопедическая обувь,кроссовки,https://cdn.orteka.ru//upload/resize_cache/iblock/6b0/1200_1200_1d8f616e6dafd84ca6b85089cc850afe3/ab9iggiz9seadimlr6w3qd1rae9e5zw7.JPG
